  x  y  f
      392.747      980.198      810212.
      1354.58      656.402      807848.
      1903.53      736.248      790501.
      2097.26      1973.11      788132.
      2213.51      2014.24      782738.
      1031.76      942.574      781537.
      2185.00      1830.98      781487.
      559.247      1297.46      779607.
      1503.00      1170.51      773544.
      308.481      1819.09      770901.
      1961.30      742.908      766945.
      524.789      889.061      746188.
      2297.70      147.448      741622.
      391.255      1560.74      736843.
      1388.06      1260.55      732006.
      1027.83      1762.82      722753.
      1127.56      1043.65      719016.
      1866.36      574.079      708762.
      1557.81      1667.89      703929.
      1403.82      1315.94      701152.
      1169.69      1398.25      690844.
      504.732      614.848      690513.
      1654.27      1442.01      683047.
      1325.45      1700.18      676697.
      997.093      683.100      676345.
      660.275      861.468      654413.
      1255.72      902.936      654161.
      842.438      1394.88      650282.
      579.486      1555.85      649457.
      858.694      1569.62      642272.
      61.8020      942.322      639951.
      1718.15      1584.92      638355.
      2554.33      323.549      620000.
      1350.75      825.860      619018.
      539.625      1216.52      612052.
      1270.05      1965.17      611317.
      1949.58      1972.44      601099.
      1164.18      2108.50      596468.
      1439.79      1277.09      584639.
      737.182      670.656      576282.
      1261.45      1676.90      575705.
      1200.19      1202.96      574535.
      1512.06      316.717      567978.
      405.978      1236.66      564954.
      637.189      127.722      537258.
      681.794      1107.49      524075.
      661.817      2531.19      495210.
      1241.74      2392.06      414748.
      2364.89      2478.39      410162.
      1762.66      2023.60      406800.
      2383.45      1670.19      349723.
      1067.55      1642.37      336809.
      1140.27      2200.35      295549.
      914.920      1871.46      284574.
      556.200      1253.43      279045.
      1639.82      1697.73      266807.
      1402.65      2138.29      264727.
      735.897      1065.83      241862.
      2503.35      373.174      241137.
      611.850      2044.32      234312.
      683.742      1592.33      229893.
      954.513      2106.07      226842.
      1142.41      929.359      224282.
      763.396      2028.23      220971.
      935.613      1884.96      219616.
      2088.35      634.418      218607.
      946.989      2089.54      215110.
      1596.60      2214.83      212435.
      1064.79      2066.21      206958.
      899.977      1666.04      206876.
      1343.54      1644.99      205179.
      1844.18      2588.45      202412.
      1789.85      1631.03      200710.
      2448.19      1888.23      197099.
      2469.20      2586.95      197095.
      1359.97      2191.26      191319.
      2543.19      361.278      182148.
      2136.24      1129.40      182075.
      1344.32      1419.61      178431.
      925.990      1629.49      178114.
      1952.60      2102.19      177799.
      755.295      1919.01      176797.
      753.218      992.325      175808.
      1021.93      620.479      174029.
      1916.73      1651.13      171764.
      1888.41      1985.21      171632.
      898.926      2050.30      170356.
      861.074      1522.83      168847.
      749.076      810.093      168175.
      679.511      2502.42      165917.
      539.500      966.127      165623.
      430.049      792.214      163649.
      1279.76      1398.02      162762.
      1013.26      1488.36      161419.
      854.406      784.205      161373.
      1764.44      1004.68      160855.
      741.758      2575.12      159823.
      1794.77      566.224      159671.
      2022.76      1477.31      159094.
      2135.11      2248.98      158522.
      2107.52      2550.68      158076.
      668.298      1407.41      155833.
      1049.43      2119.29      153306.
      1089.37      1085.21      152132.
      856.120      1905.72      150402.
      1551.09      2061.91      148774.
      1143.58      1870.11      146931.
      786.564      1273.67      146345.
      1456.67      966.326      145744.
      2357.88      319.309      144111.
      716.730      2212.01      137740.
      715.663      1226.59      136694.
      2526.96      2479.38      135788.
      675.402      1184.99      135060.
      1830.38      1832.86      134616.
      1740.91      2071.24      134403.
      2119.89      1910.32      132087.
      2391.34      819.469      131890.
      1109.97      2380.73      131137.
      2356.24      2581.47      127025.
      2135.41      2437.52      125462.
      1398.86      1463.56      124626.
      2094.10      1592.76      122011.
      1952.08      1760.40      121874.
      1372.39      1240.16      121205.
      1917.90      1376.41      121009.
      630.246      2121.68      120583.
      61.0442      1938.99      119676.
      1126.59      1908.47      119194.
      1703.04      695.804      119090.
      912.794      2246.92      118261.
      2207.59      706.490      117313.
      1757.13      1935.15      117011.
      2403.88      1048.41      115393.
      1837.73      1416.29      114738.
      1057.67      1313.47      114228.
      1901.22      1342.11      113557.
      1853.97      1823.84      112641.
      1465.47      1901.39      112281.
      1569.74      2162.11      111709.
      1029.42      2115.94      111206.
      2041.76      2498.46      110797.
      2019.37      1755.36      109177.
      899.760      2101.47      107246.
      812.107      2401.93      107203.
      1128.03      1385.36      107119.
      1056.47      1162.70      107021.
      668.442      1250.08      105496.
      1651.06      1300.43      105336.
      1036.83      2305.90      104656.
      2318.91      1325.87      104168.
      2336.90      836.371      102637.
      695.092      2395.53      101742.
      909.189      2431.41      101379.
      2173.84      991.305      100672.
      99.0879      2582.51      100421.
      1122.74      1901.26      99941.4
      860.632      2266.51      98494.6
      506.623      1402.22      98259.7
      2170.83      2562.41      98038.9
      1690.66      1251.03      97489.0
      1095.20      1949.55      97325.4
      2266.67      1306.43      96701.7
      1396.16      1992.51      96576.1
      981.437      2310.61      96116.1
      727.413      2372.49      95826.7
      814.853      1612.84      94940.7
      640.465      819.608      94853.6
      2535.64      520.532      94559.6
      2184.04      1935.31      94459.4
      1488.24      604.434      94338.7
      2080.35      2585.73      93029.5
      1090.03      1623.65      92608.0
      850.701      1841.96      92534.7
      2337.57      2556.20      92473.2
      1599.86      1800.34      92201.6
      2003.82      1566.70      92142.6
      1249.72      1753.36      91916.1
      767.818      1630.66      91830.2
      2365.99      1304.39      91764.4
      1590.57      1782.46      91194.4
      2050.63      1745.94      90062.8
      1863.51      1988.91      89116.6
      1071.82      1517.63      88729.3
      748.348      1866.79      88200.7
      1452.55      1556.94      88115.8
      1686.86      1739.11      87899.6
      1674.29      2047.69      86903.4
      1090.55      1569.65      86347.7
      70.4249      2238.29      85398.1
      2291.10      882.104      85337.0
      1926.55      1234.42      84981.5
      1987.46      2390.74      84960.7
      1480.46      2166.48      84805.0
      1590.37      2365.78      84702.2
      1533.04      1940.82      84059.5
      919.787      1751.14      83785.3
      1173.61      1812.77      83331.0
      2120.15      2538.64      82765.0
